institution_id|name
1|Microsoft
2|University of Michigan
3|IBM
4|University of Pennsylvania
5|Vanderbilt University
6|Adobe
7|Google
8|DeepLearning.AI
9|Corporate Finance Institute
10|The University of Melbourne
11|SoFi
12|Rice University
13|McMaster University
14|Tecnológico de Monterrey
15|Packt
16|Meta
17|Coursera Instructor Network
18|Scrimba
19|Duke University
20|Yale University
21|University of Colorado Boulder
22|Google AR & VR
23|Northwestern University
24|LearnQuest
25|Epic Games
26|Indian School of Business
27|University of California, Davis
28|Peking University
29|Google Cloud
30|Interactive Brokers
31|Stanford University
32|Coursera Project Network
33|University of Toronto
